"","id","long","lat","states"
"353",9.7e+17,-84.64724,33.9552575,"georgia"
"354",9.7e+17,-84.576827,33.6475029,"georgia"
"355",9.72e+17,-158.090772,21.323228,"hawaii"
"356",9.72e+17,-117.039699,46.710846,"idaho"
"357",9.71e+17,-112.496051,42.806434,"idaho"
"358",9.72e+17,-89.7731855,39.673272,"illinois"
"359",9.72e+17,-88.294633,41.444387,"illinois"
"360",9.72e+17,-87.940033,41.644102,"illinois"
"361",9.72e+17,-87.940033,41.644102,"illinois"
"362",9.72e+17,-88.383751,42.124838,"illinois"
"363",9.72e+17,-87.940033,41.644102,"illinois"
"364",9.72e+17,-87.940033,41.644102,"illinois"
"365",9.72e+17,-88.0636557,41.9039578,"illinois"
"366",9.72e+17,-87.940033,41.644102,"illinois"
"367",9.72e+17,-87.940033,41.644102,"illinois"
"368",9.72e+17,-87.903492,41.888952,"illinois"
"369",9.72e+17,-88.140904,42.309615,"illinois"
"370",9.72e+17,-87.940033,41.644102,"illinois"
"371",9.71e+17,-87.940033,41.644102,"illinois"
"372",9.71e+17,-87.940033,41.644102,"illinois"
"373",9.71e+17,-89.12325,41.8936051,"illinois"
"374",9.71e+17,-89.7731855,39.673272,"illinois"
"375",9.71e+17,-88.1358426,41.3977209,"illinois"
"376",9.71e+17,-88.101785,41.8957553,"illinois"
"377",9.71e+17,-88.714842,41.91249,"illinois"
"378",9.71e+17,-87.940033,41.644102,"illinois"
"379",9.71e+17,-87.940033,41.644102,"illinois"
"380",9.71e+17,-87.940033,41.644102,"illinois"
"381",9.71e+17,-87.940033,41.644102,"illinois"
"382",9.71e+17,-87.903832,42.2877001,"illinois"
"383",9.71e+17,-88.2035834,42.33592,"illinois"
"384",9.71e+17,-87.940033,41.644102,"illinois"
"385",9.71e+17,-87.940033,41.644102,"illinois"
"386",9.71e+17,-87.940033,41.644102,"illinois"
"387",9.71e+17,-87.826203,41.908494,"illinois"
"388",9.71e+17,-89.333714,39.5076624,"illinois"
"389",9.7e+17,-88.348774,42.298602,"illinois"
"390",9.7e+17,-88.410765,41.656926,"illinois"
"391",9.7e+17,-87.940033,41.644102,"illinois"
"392",9.7e+17,-87.940033,41.644102,"illinois"
"393",9.7e+17,-87.740644,38.693329,"illinois"
"394",9.7e+17,-88.238573,40.072763,"illinois"
"395",9.7e+17,-87.940033,41.644102,"illinois"
"396",9.7e+17,-87.671067,41.384066,"illinois"
"397",9.7e+17,-87.940033,41.644102,"illinois"
"398",9.7e+17,-87.940033,41.644102,"illinois"
"399",9.71e+17,-91.51308,36.970298,"missouri"
"400",9.7e+17,-91.51308,36.970298,"missouri"
"401",9.72e+17,-86.090354,39.993436,"indiana"
"402",9.72e+17,-86.348441,39.631677,"indiana"
"403",9.72e+17,-86.439701,39.800082,"indiana"
"404",9.72e+17,-87.4050323,40.130902,"indiana"
"405",9.72e+17,-86.348441,39.631677,"indiana"
"406",9.72e+17,-85.336872,40.95926,"indiana"
"407",9.72e+17,-86.217544,41.709039,"indiana"
"408",9.72e+17,-87.699649,37.9239819,"indiana"
"409",9.72e+17,-86.348441,39.631677,"indiana"
"410",9.72e+17,-86.076196,39.9267692,"indiana"
"411",9.72e+17,-86.090354,39.993436,"indiana"
"412",9.71e+17,-84.877215,39.145597,"indiana"
"413",9.71e+17,-87.188047,39.503132,"indiana"
"414",9.71e+17,-86.233407,40.40379,"indiana"
"415",9.71e+17,-86.932736,41.665781,"indiana"
"416",9.71e+17,-86.348441,39.631677,"indiana"
"417",9.71e+17,-87.402263,41.376611,"indiana"
"418",9.71e+17,-86.25064,39.5293583,"indiana"
"419",9.7e+17,-87.413937,37.9765052,"indiana"
"420",9.7e+17,-86.348441,39.631677,"indiana"
"421",9.7e+17,-86.999431,40.406761,"indiana"
"422",9.7e+17,-86.814446,40.7869024,"indiana"
"423",9.72e+17,-79.213942,40.5860237,"pennsylvania"
"424",9.72e+17,-90.781325,42.442191,"iowa"
"425",9.72e+17,-91.672009,42.0585482,"iowa"
"426",9.72e+17,-93.718311,41.986006,"iowa"
"427",9.72e+17,-93.718311,41.986006,"iowa"
"428",9.71e+17,-90.6921396,41.475836,"iowa"
"429",9.71e+17,-93.438289,43.107835,"iowa"
"430",9.71e+17,-93.709504,41.501409,"iowa"
"431",9.71e+17,-96.492971,42.385735,"nebraska"
"432",9.7e+17,-91.6110574,41.599181,"iowa"
"433",9.7e+17,-95.9235509,41.194487,"nebraska"
"434",9.7e+17,-92.5343382,42.700318,"iowa"
"435",9.7e+17,-96.6396669,40.375437,"nebraska"
"436",9.72e+17,-98.1354373,37.632582,"kansas"
"437",9.72e+17,-97.5349059,37.562483,"kansas"
"438",9.72e+17,-97.676631,38.768801,"kansas"
"439",9.71e+17,-96.649744,39.159985,"kansas"
"440",9.71e+17,-95.809606,38.971524,"kansas"
"441",9.71e+17,-97.5349059,37.562483,"kansas"
"442",9.71e+17,-97.377877,37.999177,"kansas"
"443",9.71e+17,-97.589149,37.649593,"kansas"
"444",9.71e+17,-98.820728,38.350325,"kansas"
"445",9.7e+17,-102.051769,36.9931101,"oklahoma"
"446",9.72e+17,-84.504476,39.064988,"kentucky"
"447",9.72e+17,-85.899573,38.115961,"kentucky"
"448",9.71e+17,-85.847503,38.108678,"kentucky"
"449",9.71e+17,-85.847503,38.108678,"kentucky"
"450",9.72e+17,-74.026675,40.683935,"new york"
"451",9.72e+17,-74.026675,40.683935,"new york"
"452",9.72e+17,-74.026675,40.683935,"new york"
"453",9.72e+17,-73.169793,40.747906,"new york"
"454",9.72e+17,-74.026675,40.683935,"new york"
"455",9.71e+17,-74.041878,40.570842,"new york"
"456",9.71e+17,-74.026675,40.683935,"new york"
"457",9.71e+17,-74.041878,40.570842,"new york"
"458",9.71e+17,-73.530573,44.652759,"new york"
"459",9.71e+17,-74.026675,40.683935,"new york"
"460",9.71e+17,-74.041878,40.570842,"new york"
"461",9.71e+17,-73.656228,40.84609,"new york"
"462",9.71e+17,-76.547738,42.41815,"new york"
"463",9.71e+17,-74.026675,40.683935,"new york"
"464",9.71e+17,-74.041878,40.570842,"new york"
"465",9.71e+17,-73.396877,40.668458,"new york"
"466",9.71e+17,-74.026675,40.683935,"new york"
"467",9.72e+17,-77.9169571,33.97146,"north carolina"
"468",9.72e+17,-81.046876,35.001706,"south carolina"
"469",9.72e+17,-81.046876,35.001706,"south carolina"
"470",9.72e+17,-79.0075886,35.866334,"north carolina"
"471",9.72e+17,-80.389019,35.9341262,"north carolina"
"472",9.72e+17,-79.0075886,35.866334,"north carolina"
"473",9.72e+17,-80.0295184,35.962623,"north carolina"
"474",9.71e+17,-79.7109539,36.3041549,"north carolina"
"475",9.71e+17,-80.71402,35.124954,"north carolina"
"476",9.71e+17,-81.046876,35.001706,"south carolina"
"477",9.71e+17,-81.046876,35.001706,"south carolina"
"478",9.71e+17,-80.0295184,35.962623,"north carolina"
"479",9.71e+17,-78.561149,35.9042864,"north carolina"
"480",9.71e+17,-79.0075886,35.866334,"north carolina"
"481",9.71e+17,-80.7885,34.914104,"south carolina"
"482",9.7e+17,-79.0831529,35.869376,"north carolina"
"483",9.7e+17,-78.9448945,35.6443837,"north carolina"
"484",9.7e+17,-83.200975,35.29043,"north carolina"
"485",9.7e+17,-81.133373,35.321436,"north carolina"
"486",9.72e+17,-84.3219475,33.752879,"georgia"
"487",9.72e+17,-84.3219475,33.752879,"georgia"
"488",9.72e+17,-84.3219475,33.752879,"georgia"
"489",9.71e+17,-84.3219475,33.752879,"georgia"
"490",9.71e+17,-84.3219475,33.752879,"georgia"
"491",9.7e+17,-84.3219475,33.752879,"georgia"
"492",9.7e+17,-84.3219475,33.752879,"georgia"
"493",9.7e+17,-84.3219475,33.752879,"georgia"
"494",9.72e+17,-104.048915,45.935021,"montana"
"495",9.72e+17,-104.048915,45.935021,"montana"
"496",9.71e+17,-96.723334,32.894954,"texas"
"497",9.72e+17,-83.146509,39.939675,"ohio"
"498",9.72e+17,-80.811312,41.060737,"ohio"
"499",9.72e+17,-81.628444,40.995137,"ohio"
"500",9.72e+17,-81.105004,41.745606,"ohio"
"501",9.71e+17,-83.690916,41.348047,"ohio"
"502",9.71e+17,-84.324646,39.209618,"ohio"
"503",9.71e+17,-83.200169,39.832013,"ohio"
"504",9.71e+17,-82.8462065,40.052697,"ohio"
"505",9.71e+17,-83.200169,39.832013,"ohio"
"506",9.71e+17,-81.39342,41.065438,"ohio"
"507",9.71e+17,-83.200169,39.832013,"ohio"
"508",9.71e+17,-81.877771,41.392684,"ohio"
"509",9.71e+17,-83.200169,39.832013,"ohio"
"510",9.71e+17,-84.378118,39.851499,"ohio"
"511",9.71e+17,-84.238335,39.050967,"ohio"
"512",9.71e+17,-84.710722,39.052962,"kentucky"
"513",9.71e+17,-84.31794,39.026849,"ohio"
"514",9.71e+17,-82.8346953,39.996648,"ohio"
"515",9.71e+17,-84.235753,39.393247,"ohio"
"516",9.71e+17,-82.716209,38.4992476,"kentucky"
"517",9.71e+17,-81.392451,41.1176596,"ohio"
"518",9.71e+17,-81.494225,41.4242766,"ohio"
"519",9.71e+17,-81.877771,41.392684,"ohio"
"520",9.7e+17,-81.8375,41.4632453,"ohio"
"521",9.7e+17,-83.401316,40.199677,"ohio"
"522",9.7e+17,-83.200169,39.832013,"ohio"
"523",9.7e+17,-83.200169,39.832013,"ohio"
"524",9.7e+17,-83.694776,41.580375,"ohio"
"525",9.7e+17,-81.907176,41.089056,"ohio"
"526",9.7e+17,-83.200169,39.832013,"ohio"
"527",9.72e+17,-84.8203089,38.403186,"kentucky"
"528",9.72e+17,-84.8203089,38.403186,"kentucky"
"529",9.72e+17,-84.8203089,38.403186,"kentucky"
"530",9.72e+17,-84.8203089,38.403186,"kentucky"
"531",9.71e+17,-84.8203089,38.403186,"kentucky"
"532",9.71e+17,-84.8203089,38.403186,"kentucky"
"533",9.71e+17,-84.8203089,38.403186,"kentucky"
"534",9.71e+17,-84.8203089,38.403186,"kentucky"
"535",9.71e+17,-84.8203089,38.403186,"kentucky"
"536",9.71e+17,-84.8203089,38.403186,"kentucky"
"537",9.71e+17,-84.8203089,38.403186,"kentucky"
"538",9.7e+17,-84.8203089,38.403186,"kentucky"
"539",9.7e+17,-84.8203089,38.403186,"kentucky"
"540",9.7e+17,-85.404424,34.983674,"georgia"
"541",9.7e+17,-85.404424,34.983674,"georgia"
"542",9.7e+17,-86.505805,35.751433,"tennessee"
"543",9.7e+17,-82.649893,36.43008,"tennessee"
"544",9.7e+17,-90.135782,34.994192,"mississippi"
"545",9.7e+17,-87.022482,35.9945681,"tennessee"
"546",9.7e+17,-89.009286,36.040484,"tennessee"
"547",9.7e+17,-84.347226,35.962375,"tennessee"
"548",9.72e+17,-90.310298,34.982924,"arkansas"
"549",9.71e+17,-90.310298,34.982924,"arkansas"
"550",9.71e+17,-90.310298,34.982924,"arkansas"
"551",9.7e+17,-90.310298,34.982924,"arkansas"
"552",9.72e+17,-97.684281,26.07277,"texas"
"553",9.72e+17,-97.15606,32.81088,"texas"
"554",9.72e+17,-96.015096,30.061706,"texas"
"555",9.72e+17,-96.977527,32.620678,"texas"
"556",9.71e+17,-95.823268,29.522325,"texas"
"557",972284272504721408,-82.7023383,39.9464316,"ohio"
"558",972284270562758656,-85.1127855,45.1460084,"michigan"
"559",972284257824575488,-87.5217068,41.4942021,"indiana"
"560",972284255882694656,-116.8558106,34.2593211,"california"
"561",972284254376771584,-77.3133268,40.4732862,"pennsylvania"
"562",972284253277835264,-120.8958242,38.8375215,"california"
"563",972284249868062720,-96.3335769,29.5896836,"texas"
"564",972284249066762240,-115.1398296,36.1699412,"nevada"
"565",972284247904960512,-115.1398296,36.1699412,"nevada"
"566",972284246931988480,-79.0192997,35.7595731,"north carolina"
"567",972284244356673536,-76.6121893,39.2903848,"maryland"
"568",972284216904962048,-121.9278292,36.5499755,"california"
"569",972284214145056768,-74.4056612,40.0583238,"new jersey"
"570",972258357426913280,-112.07638889,33.52833333,"arizona"
"571",972239309792190464,-73.98827,40.73492,"new york"
"572",972236013887283200,-118.243,34.0522,"california"
"573",972263179001696256,-85.7584557,38.2526647,"kentucky"
"574",972263174434148352,-70.142927,41.734637,"massachusetts"
"575",972263164447481856,-85.6680863,42.9633599,"michigan"
"576",972263091856691200,-92.4453161,42.5348993,"iowa"
"577",972263037234307072,-95.9898964,30.0939175,"texas"
"578",972258357426913280,-112.07638889,33.52833333,"arizona"
"579",972239309792190464,-73.98827,40.73492,"new york"
"580",972236013887283200,-118.243,34.0522,"california"
"581",972263179001696256,-85.7584557,38.2526647,"kentucky"
"582",972263174434148352,-70.142927,41.734637,"massachusetts"
"583",972263164447481856,-85.6680863,42.9633599,"michigan"
"584",972263091856691200,-92.4453161,42.5348993,"iowa"
"585",972263037234307072,-95.9898964,30.0939175,"texas"
"586",972258357426913280,-112.07638889,33.52833333,"arizona"
"587",972239309792190464,-73.98827,40.73492,"new york"
"588",972236013887283200,-118.243,34.0522,"california"
"589",972263179001696256,-85.7584557,38.2526647,"kentucky"
"590",972263174434148352,-70.142927,41.734637,"massachusetts"
"591",972263164447481856,-85.6680863,42.9633599,"michigan"
"592",972263091856691200,-92.4453161,42.5348993,"iowa"
"593",972263037234307072,-95.9898964,30.0939175,"texas"
"594",972258357426913280,-112.07638889,33.52833333,"arizona"
"595",972239309792190464,-73.98827,40.73492,"new york"
"596",972236013887283200,-118.243,34.0522,"california"
"597",972263179001696256,-85.7584557,38.2526647,"kentucky"
"598",972263174434148352,-70.142927,41.734637,"massachusetts"
"599",972263164447481856,-85.6680863,42.9633599,"michigan"
"600",972263091856691200,-92.4453161,42.5348993,"iowa"
"601",972263037234307072,-95.9898964,30.0939175,"texas"
"602",972258357426913280,-112.07638889,33.52833333,"arizona"
"603",972239309792190464,-73.98827,40.73492,"new york"
"604",972236013887283200,-118.243,34.0522,"california"
"605",972263179001696256,-85.7584557,38.2526647,"kentucky"
"606",972263174434148352,-70.142927,41.734637,"massachusetts"
"607",972263164447481856,-85.6680863,42.9633599,"michigan"
"608",972263091856691200,-92.4453161,42.5348993,"iowa"
"609",972263037234307072,-95.9898964,30.0939175,"texas"
"610",972258357426913280,-112.07638889,33.52833333,"arizona"
"611",972239309792190464,-73.98827,40.73492,"new york"
"612",972236013887283200,-118.243,34.0522,"california"
"613",972263179001696256,-85.7584557,38.2526647,"kentucky"
"614",972263174434148352,-70.142927,41.734637,"massachusetts"
"615",972263164447481856,-85.6680863,42.9633599,"michigan"
"616",972263091856691200,-92.4453161,42.5348993,"iowa"
"617",972263037234307072,-95.9898964,30.0939175,"texas"
"618",972258357426913280,-112.07638889,33.52833333,"arizona"
"619",972239309792190464,-73.98827,40.73492,"new york"
"620",972236013887283200,-118.243,34.0522,"california"
"621",972263179001696256,-85.7584557,38.2526647,"kentucky"
"622",972263174434148352,-70.142927,41.734637,"massachusetts"
"623",972263164447481856,-85.6680863,42.9633599,"michigan"
"624",972263091856691200,-92.4453161,42.5348993,"iowa"
"625",972263037234307072,-95.9898964,30.0939175,"texas"
"626",972258357426913280,-112.07638889,33.52833333,"arizona"
"627",972239309792190464,-73.98827,40.73492,"new york"
"628",972236013887283200,-118.243,34.0522,"california"
"629",972263179001696256,-85.7584557,38.2526647,"kentucky"
"630",972263174434148352,-70.142927,41.734637,"massachusetts"
"631",972263164447481856,-85.6680863,42.9633599,"michigan"
"632",972263091856691200,-92.4453161,42.5348993,"iowa"
"633",972263037234307072,-95.9898964,30.0939175,"texas"
"634",972258357426913280,-112.07638889,33.52833333,"arizona"
"635",972239309792190464,-73.98827,40.73492,"new york"
"636",972236013887283200,-118.243,34.0522,"california"
"637",972263179001696256,-85.7584557,38.2526647,"kentucky"
"638",972263174434148352,-70.142927,41.734637,"massachusetts"
"639",972263164447481856,-85.6680863,42.9633599,"michigan"
"640",972263091856691200,-92.4453161,42.5348993,"iowa"
"641",972263037234307072,-95.9898964,30.0939175,"texas"
"642",972162462240985088,-74.4056612,40.0583238,"new jersey"
"643",972068309809156096,-77.0368707,38.9071923,"district of columbia"
"644",971794151170760704,-95.712891,37.09024,"kansas"
"645",971794117964394496,-95.712891,37.09024,"kansas"
"646",972160880984166400,-74.0059728,40.7127753,"new york"
"647",972215967991279616,-118.2436849,34.0522342,"california"
"648",972215967991279616,-118.2436849,34.0522342,"california"
"649",972215967991279616,-118.2436849,34.0522342,"california"
"650",972215967991279616,-118.2436849,34.0522342,"california"
"651",971946439378198528,-82.907123,40.4172871,"ohio"
"652",969698742709370880,-122.6764815,45.5230622,"oregon"
"653",969235876495675392,-79.0780831,40.008411,"pennsylvania"
"654",968915778874507264,-71.0588801,42.3600825,"massachusetts"
"655",968558821135155200,-95.712891,37.09024,"kansas"
"656",971849947946483712,-119.4179324,36.778261,"california"
"657",971849511025852416,-119.4179324,36.778261,"california"
"658",971849090249121792,-119.4179324,36.778261,"california"
"659",971794747529416704,-119.4179324,36.778261,"california"
"660",971791680734085120,-119.4179324,36.778261,"california"
"661",971791593664495616,-119.4179324,36.778261,"california"
"662",971791236452397056,-119.4179324,36.778261,"california"
"663",971790882964828160,-119.4179324,36.778261,"california"
"664",971790585043415040,-119.4179324,36.778261,"california"
"665",971790456982970368,-119.4179324,36.778261,"california"
"666",971517504945188864,-119.4179324,36.778261,"california"
"667",971517144830640128,-119.4179324,36.778261,"california"
"668",971516942476500992,-119.4179324,36.778261,"california"
"669",971931340227608576,-83.0458,42.3314,"michigan"
"670",972150611088171008,-84.4957757,39.091449,"kentucky"
"671",972149172173406208,-82.907123,40.4172871,"ohio"
"672",972140065106415616,-84.2700179,37.8393332,"kentucky"
"673",972133904957263872,-75.977985,36.8529263,"virginia"
"674",972133869775450112,-75.977985,36.8529263,"virginia"
"675",972132621755928576,-85.264502,45.317759,"michigan"
"676",972127159874740224,-82.5154471,40.75839,"ohio"
"677",972125566005600256,-81.5861847,28.5652787,"florida"
"678",972125217995796480,-80.3350326,25.720399,"florida"
"679",972117955889782784,-75.0786357,40.0736106,"pennsylvania"
"680",972108624167305216,-85.5872286,42.2917069,"michigan"
"681",972103768278994944,-77.0441143,35.108493,"north carolina"
"682",972143938088947712,-74.0059728,40.7127753,"new york"
"683",972132849397747712,-77.0368707,38.9071923,"district of columbia"
"684",972129956607201280,-89.086446,42.241772,"illinois"
"685",972135836757250048,-84.3881,33.7489,"georgia"
"686",972133104507813888,-121.567,45.5381,"oregon"
"687",972140949383122944,-94.658108,39.022807,"kansas"
"688",972140945075404800,-82.6402915,27.7676008,"florida"
"689",972140889807183872,-87.2103008,39.5025718,"indiana"
"690",972140881309560832,-97.3307658,32.7554883,"texas"
"691",972140854755430400,-107.4338866,32.4507852,"new mexico"
"692",972140836568883200,-81.6943605,41.49932,"ohio"
"693",972132037476929536,-79.8108318,40.1868585,"pennsylvania"
"694",972112746782318592,-75.39134,39.83268,"pennsylvania"
"695",972140281985425408,-79.0192997,35.7595731,"north carolina"
"696",972140258925137920,-80.3277279,35.383255,"north carolina"
"697",972140207968579584,-82.907123,40.4172871,"ohio"
"698",972113897695203328,-74.07607769,42.37837838,"new york"
"699",972139497344380928,-81.2670131,29.7983039,"florida"
"700",972139417405095936,-76.6121893,39.2903848,"maryland"
"701",972139398010720256,-102.4107493,34.2331373,"texas"
"702",972139383955558400,-93.1668858,44.8041322,"minnesota"
"703",972139188719181824,-86.7816016,36.1626638,"tennessee"
"704",972139142812524544,-74.0059728,40.7127753,"new york"
"705",972139123485024256,-80.637181,36.5331523,"north carolina"
"706",972139073031884800,-76.4519658,40.3405166,"pennsylvania"
"707",972138987128328192,-73.2122666,44.4762123,"vermont"
"708",972138978680954880,-71.3273346,42.8806437,"new hampshire"
"709",972138948804820992,-76.803101,42.079016,"new york"
"710",972138938499387392,-85.8355735,31.3205196,"alabama"
"711",972138922888368128,-71.3824374,42.4072107,"massachusetts"
"712",972138903036624896,-79.8216969,36.1014307,"north carolina"
"713",972138883352850432,-80.5506221,37.1382689,"virginia"
"714",972138822501679104,-88.452716,44.1869896,"wisconsin"
"715",972138807003762688,-119.4179324,36.778261,"california"
"716",971895572515950592,-157.8374802,21.2809329,"hawaii"
"717",971449123105837056,-78.93686712,36.00769126,"north carolina"
"718",971431937259790336,-81.542072,40.969238,"ohio"
"719",971305151825838080,-75.55561879,39.78020228,"delaware"
